,time,time_msc,type,entry,price,profit,sl,tp
0,1675079350,1675079350014,0,1,1.23993,-95.0,1.23984,1.23509
1,1675129323,1675129323303,1,1,1.23495,-18.0,1.23413,1.23613
2,1675161086,1675161086712,0,1,1.23216,2.0,1.23515,1.23037
3,1675186023,1675186023121,0,1,1.22867,264.0,1.2336,1.22868
4,1675238425,1675238425667,1,1,1.23147,-13.0,1.2306,1.2326
5,1675238912,1675238912357,0,1,1.23192,-5.0,1.23355,1.22872
6,1675335079,1675335079459,1,1,1.23642,-189.0,1.23633,1.24119
7,1680819661,1680819661881,1,1,1.24449,-7.0,1.24256,1.24656
8,1680820542,1680820542791,1,1,1.2442199999999999,-16.0,1.24238,1.24638
9,1680820776,1680820776380,0,1,1.24416,7.0,1.24623,1.24223
10,1680881742,1680881742083,0,1,1.23979,164.0,1.24468,1.23985
11,1681102521,1681102521122,1,1,1.24109,-215.0,1.2411,1.24596
12,1681126047,1681126047621,0,1,1.24311,-195.0,1.24309,1.23826
13,1681137028,1681137028448,1,1,1.24111,-211.0,1.2411,1.24596
14,1681139526,1681139526718,0,1,1.23826,291.0,1.24309,1.23826
15,1681142109,1681142109113,0,1,1.23505,250.0,1.23991,1.23508
16,1681194098,1681194098962,1,1,1.24122,311.0,1.23633,1.24119
17,1681212321,1681212321272,1,1,1.24447,272.0,1.23951,1.24437
18,1681223101,1681223101576,1,1,1.24264,-188.0,1.24269,1.24755
19,1681290029,1681290029113,0,1,1.24466,-205.0,1.24468,1.23985
20,1681313404,1681313404074,0,1,1.24353,-243.0,1.24309,1.23826
21,1681491628,1681491628771,1,1,1.2442199999999999,-187.0,1.24428,1.24914
22,1681497544,1681497544899,0,1,1.2414,225.0,1.24627,1.24144
23,1681732302,1681732302888,0,1,1.23825,249.0,1.24309,1.23826
24,1681811535,1681811535406,1,1,1.24118,284.0,1.23633,1.24119
25,1681820462,1681820462701,1,1,1.24435,254.0,1.23951,1.24437
26,1681833425,1681833425389,1,1,1.24264,-190.0,1.24269,1.24755
27,1681897512,1681897512688,0,1,1.24471,-199.0,1.24468,1.23985
28,1681902703,1681902703802,1,1,1.2443,-210.0,1.24428,1.24914
29,1681907821,1681907821605,0,1,1.24143,283.0,1.24627,1.24144
30,1681911379,1681911379428,0,1,1.24309,-189.0,1.24309,1.23826
31,1681917361,1681917361812,0,1,1.24153,-200.0,1.2415,1.23667
32,1681920469,1681920469878,1,1,1.24438,213.0,1.23951,1.24437
33,1681957623,1681957623823,1,1,1.24268,-191.0,1.24269,1.24755
34,1681981588,1681981588959,0,1,1.24469,-204.0,1.24468,1.23985
35,1681986563,1681986563586,1,1,1.24265,-244.0,1.24269,1.24755
36,1681989620,1681989620058,0,1,1.24475,-199.0,1.24468,1.23985
37,1681992663,1681992663873,1,1,1.24264,-187.0,1.24269,1.24755
38,1682005518,1682005518889,0,1,1.2447,-255.0,1.24468,1.23985
39,1682019487,1682019487276,1,1,1.24425,-225.0,1.24428,1.24914
40,1682069420,1682069420323,0,1,1.24143,295.0,1.24627,1.24144
41,1682095520,1682095520031,1,1,1.23954,-183.0,1.23951,1.24437
42,1682097505,1682097505633,0,1,1.23996,-209.0,1.23991,1.23508
43,1682117803,1682117803832,1,1,1.24437,254.0,1.23951,1.24437
44,1682324493,1682324493559,1,1,1.24267,-191.0,1.24269,1.24755
45,1682347761,1682347761233,1,1,1.24269,-253.0,1.24269,1.24755
46,1682349653,1682349653237,0,1,1.24468,-201.0,1.24468,1.23985
47,1682385676,1682385676979,1,1,1.24935,273.0,1.24428,1.24914
48,1682411486,1682411486159,1,1,1.24748,-203.0,1.24746,1.25232
49,1682432317,1682432317306,0,1,1.24461,290.0,1.24945,1.24462
50,1682439030,1682439030677,0,1,1.24143,297.0,1.24627,1.24144
51,1682498650,1682498650099,0,1,1.24307,-232.0,1.24309,1.23826
52,1682504701,1682504701800,1,1,1.24594,280.0,1.2411,1.24596
53,1682526249,1682526249952,1,1,1.24932,326.0,1.24428,1.24914
54,1682600067,1682600067498,0,1,1.2446,237.0,1.24945,1.24462
55,1682603256,1682603256979,0,1,1.24631,-190.0,1.24627,1.24144
56,1682609439,1682609439656,1,1,1.2457799999999999,-202.0,1.24587,1.25073
57,1682614614,1682614614402,0,1,1.24625,-190.0,1.24627,1.24144
58,1682680748,1682680748419,1,1,1.2456800000000001,-218.0,1.24587,1.25073
59,1682688380,1682688380975,0,1,1.24787,-257.0,1.24786,1.24303
60,1682690247,1682690247414,1,1,1.24585,-188.0,1.24587,1.25073
61,1682702653,1682702653466,1,1,1.25392,263.0,1.24905,1.25391
62,1682704757,1682704757461,1,1,1.25713,316.0,1.25223,1.25709
63,1682911100,1682911100947,1,1,1.2554,-238.0,1.25541,1.26027
64,1682940342,1682940342503,0,1,1.25252,263.0,1.2574,1.25257
65,1682954601,1682954601217,0,1,1.2542,-186.0,1.25422,1.24939
66,1682965692,1682965692774,0,1,1.24939,260.0,1.25422,1.24939
67,1683002161,1683002161548,0,1,1.25104,-191.0,1.25104,1.24621
68,1683028179,1683028179403,0,1,1.24897,-36.0,1.25104,1.24621
69,1683045973,1683045973228,0,1,1.24459,245.0,1.24945,1.24462
70,1683046893,1683046893979,0,1,1.24633,-189.0,1.24627,1.24144
71,1683048806,1683048806503,0,1,1.24626,-182.0,1.24627,1.24144
72,1683056437,1683056437027,0,1,1.2478799999999999,-177.0,1.24786,1.24303
73,1683108034,1683108034931,1,1,1.25072,297.0,1.24587,1.25073
74,1683121921,1683121921805,1,1,1.25061,-275.0,1.25064,1.2555
75,1683145765,1683145765605,1,1,1.25549,257.0,1.25064,1.2555
76,1683147742,1683147742511,1,1,1.2588599999999999,295.0,1.25382,1.25868
77,1683201730,1683201730513,1,1,1.25539,-198.0,1.25541,1.26027
78,1683216398,1683216398924,0,1,1.2574,-208.0,1.2574,1.25257
79,1683242159,1683242159307,1,1,1.2570000000000001,-196.0,1.257,1.26186
80,1683279548,1683279548660,1,1,1.26184,255.0,1.257,1.26186
81,1683284746,1683284746482,1,1,1.26019,-221.0,1.26018,1.26504
82,1683300602,1683300602431,0,1,1.2574,290.0,1.26217,1.25734
83,1683303334,1683303334825,0,1,1.25897,-260.0,1.25899,1.25416
84,1683553834,1683553834360,1,1,1.26663,281.0,1.26177,1.26663
